City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Mar Del Plata,AR,70.0,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
Port Alfred,ZA,68.5,overcast clouds,-33.5906,26.891,The Halyards Hotel
Coahuayana,MX,75.2,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
Lichinga,MZ,64.4,broken clouds,-13.3128,35.2406,Residencial Bendiak
Hobart,AU,64.4,light rain,-42.8794,147.3294,Mantra on Collins Hobart
Sabzevar,IR,67.82,overcast clouds,36.2126,57.6819,پزشکی قانونی سبزوار
Bredasdorp,ZA,64.4,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
Ormara,PK,75.02,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
East London,ZA,68.05,light rain,-33.0153,27.9116,Tu Casa
Carnarvon,AU,75.2,few clouds,-24.8667,113.6333,Hospitality Carnarvon
Pisco,PE,68.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
Victoria,HK,71.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
Calvinia,ZA,67.44,clear sky,-31.4707,19.776,Die Lemoenhuis
Geraldton,AU,69.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
Austin,US,69.01,overcast clouds,30.2672,-97.7431,The Driskill - In the Unbound Collection by Hyatt
Hermanus,ZA,68.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
Cidreira,BR,73.29,clear sky,-30.1811,-50.2056,Hotel Castelo
Christchurch,NZ,66.2,few clouds,-43.5333,172.6333,The George
Caravelas,BR,75.22,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
Salalah,OM,75.2,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
Qui Nhon,VN,75.36,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
Mahebourg,MU,73.4,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Cape Town,ZA,68.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
Saldanha,ZA,69.8,clear sky,-33.0117,17.9442,Blue Bay Lodge
Sao Filipe,CV,71.67,clear sky,14.8961,-24.4956,Tortuga B&B
Waipawa,NZ,66.99,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
Hasaki,JP,64.99,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
Humaita,BR,71.17,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
Hualmay,PE,71.06,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
Moron,AR,75.99,broken clouds,-34.6534,-58.6198,Hotel Morón
Clarksburg,US,68.0,clear sky,39.2807,-80.3445,Greenbrier Motel & Restaurant
Bayonet Point,US,70.0,scattered clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
Benjamin Constant,BR,75.2,light rain,-4.3831,-70.0311,CASA AVALIADA
Chokwe,MZ,64.4,clear sky,-24.5333,32.9833,Complexo Sonho Real
Souillac,MU,73.4,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
Paita,PE,73.87,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
Cabo San Lucas,MX,71.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
Banyo,CM,66.7,overcast clouds,6.75,11.8167,Motel JOMBA
Sao Felix Do Xingu,BR,72.39,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
Castro,BR,65.21,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
Ipixuna,BR,75.2,moderate rain,-1.7625,-48.8043,Casa da Oscarina
Sungaipenuh,ID,67.35,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
Manakara,MG,73.9,light rain,-22.1333,48.0167,La Residence Manakara
Camabatela,AO,64.54,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
Chuy,UY,66.18,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
Nishihara,JP,71.6,scattered clouds,26.1842,127.7558,Minshuku Agaihama
Kruisfontein,ZA,70.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
Kisangani,CD,70.54,overcast clouds,0.5167,25.2,Grand Ramela Hotel
Jacareacanga,BR,73.31,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
Lakes Entrance,AU,66.0,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
Eyl,SO,73.71,clear sky,7.9803,49.8164,Amiin Hotel
Namibe,AO,72.77,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
Bandarbeyla,SO,75.2,clear sky,9.4942,50.8122,JABIR HOTEL
Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
San Jose,US,66.99,broken clouds,37.3394,-121.895,The Westin San Jose
Santa Vitoria Do Palmar,BR,66.74,clear sky,-33.5189,-53.3681,Hostel Comodoro
Lahan,NP,74.17,clear sky,26.7296,86.4951,Hotel Durbar Pvt. Ltd.
Airai,TL,71.96,scattered clouds,-8.9266,125.4092,Juvinal Martin
Canutama,BR,71.29,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
Taltal,CL,67.42,clear sky,-25.4,-70.4833,Residencial Karime
Gurupa,BR,72.16,moderate rain,-1.405,-51.64,Residencial DWD
Waggaman,US,70.0,overcast clouds,29.9185,-90.2109,Candlewood Suites Avondale-New Orleans
Port Lincoln,AU,65.89,clear sky,-34.7333,135.8667,Port Lincoln Hotel
Russell,US,64.4,few clouds,32.3502,-85.1999,Macs
Richards Bay,ZA,69.64,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
Codajas,BR,70.92,overcast clouds,-3.8367,-62.0569,Hotel Tamires
Santa Cruz De Tenerife,ES,66.99,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
Port Elizabeth,ZA,68.0,broken clouds,-33.918,25.5701,39 On Nile Guest House
Baghdad,IQ,64.4,broken clouds,33.3406,44.4009,Baghdad Hotel
Praia,CV,69.26,clear sky,14.9215,-23.5087,LT Aparthotel
Montepuez,MZ,65.5,broken clouds,-13.1256,38.9997,Complexo Messalo
Umm Lajj,SA,70.5,clear sky,25.0213,37.2685,Moon light Furnished Units
Shashi,CN,68.0,clear sky,30.3072,112.2447,Xingyu Hotel
Laje,BR,71.02,clear sky,-10.1833,-40.9667,Pousada Centro
Matara,LK,75.96,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
Xam Nua,LA,67.1,few clouds,20.4197,104.0439,Xee Wang Guesthouse
Inhambane,MZ,70.07,scattered clouds,-23.865,35.3833,Oceano
Bahia Honda,CU,75.79,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
Buckeye,US,73.0,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
Rio Grande,BR,71.01,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
