City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Puerto Ayora,EC,-0.7393,-90.3518,77.0,93,22,1.01,light rain
Vaini,TO,-21.2,-175.2,78.62,81,100,25.1,moderate rain
Ostrovnoy,RU,68.0531,39.5131,33.87,85,72,18.81,broken clouds
Guerrero Negro,MX,27.9769,-114.0611,59.88,66,0,14.79,clear sky
Viedma,AR,-40.8135,-62.9967,60.89,61,100,13.35,overcast clouds
Jamestown,US,42.097,-79.2353,60.01,72,20,11.41,few clouds
Rikitea,PF,-23.1203,-134.9692,79.45,73,10,14.43,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,70.0,88,75,3.44,mist
Bluff,NZ,-46.6,168.3333,63.0,75,11,3.0,few clouds
Ushuaia,AR,-54.8,-68.3,42.8,75,20,28.77,few clouds
Port Alfred,ZA,-33.5906,26.891,68.5,85,100,15.48,overcast clouds
Nabire,ID,-3.3667,135.4833,81.39,75,100,2.01,overcast clouds
Kodiak,US,57.79,-152.4072,44.6,57,75,6.91,broken clouds
Butaritari,KI,3.0707,172.7902,81.91,79,25,16.91,scattered clouds
Coahuayana,MX,18.7333,-103.6833,75.2,50,1,9.22,clear sky
Lichinga,MZ,-13.3128,35.2406,64.4,100,75,8.05,broken clouds
Yellowknife,CA,62.456,-114.3525,8.6,52,1,9.22,clear sky
Jasper,US,37.2001,-94.3502,52.0,71,1,8.05,clear sky
Grand Gaube,MU,-20.0064,57.6608,77.0,87,24,1.99,few clouds
Sakakah,SA,29.9697,40.2064,60.8,20,0,12.66,dust
Tanout,NE,14.9709,8.8879,75.97,14,81,12.39,broken clouds
Hobart,AU,-42.8794,147.3294,64.4,82,75,6.91,light rain
Bethel,US,41.3712,-73.414,51.01,94,100,4.0,light rain
Sabzevar,IR,36.2126,57.6819,67.82,33,100,3.67,overcast clouds
Nipawin,CA,53.3668,-104.0009,32.0,74,90,14.97,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,64.4,88,99,9.22,overcast clouds
Usinsk,RU,65.9939,57.5281,24.39,93,100,16.64,overcast clouds
Ormara,PK,25.2088,64.6357,75.02,57,0,5.3,clear sky
Ribeira Grande,PT,38.5167,-28.7,56.97,63,20,3.53,few clouds
Busselton,AU,-33.65,115.3333,63.0,78,25,1.01,scattered clouds
Jojoima,SL,7.8792,-10.7878,75.07,89,100,1.7,overcast clouds
Aloleng,PH,16.1307,119.7824,83.53,62,98,6.67,overcast clouds
East London,ZA,-33.0153,27.9116,68.05,86,100,10.67,light rain
Carnarvon,AU,-24.8667,113.6333,75.2,73,21,17.27,few clouds
Marzuq,YE,14.4,46.4667,64.49,24,0,5.17,clear sky
Bahia Blanca,AR,-38.7196,-62.2724,63.95,66,100,15.35,overcast clouds
Pisco,PE,-13.7,-76.2167,68.0,83,0,14.97,clear sky
Victoria,HK,22.2855,114.1577,71.01,72,95,14.0,overcast clouds
Priiskovyy,RU,51.9333,116.6333,29.32,89,73,3.29,broken clouds
Calvinia,ZA,-31.4707,19.776,67.44,47,0,2.75,clear sky
Nikolskoye,RU,59.7035,30.7861,37.99,81,90,8.95,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,88,0,4.36,clear sky
Georgetown,MY,5.4112,100.3354,80.01,94,20,5.75,mist
Geraldton,AU,-28.7667,114.6,69.8,52,0,12.66,clear sky
Margate,GB,51.3813,1.3862,48.0,77,100,1.01,overcast clouds
Lompoc,US,34.6391,-120.4579,60.8,55,20,11.5,few clouds
Jizan,SA,17.3333,42.6667,80.6,54,3,1.5,clear sky
Punta Arenas,CL,-53.15,-70.9167,48.2,71,40,21.85,scattered clouds
Balabac,PH,7.9868,117.0645,82.24,80,100,14.67,overcast clouds
Vila,PT,42.0304,-8.1588,42.01,88,100,1.99,overcast clouds
Constitucion,CL,-35.3333,-72.4167,53.83,83,67,14.67,broken clouds
Saint-Joseph,RE,-21.3667,55.6167,77.0,73,0,6.91,clear sky
Austin,US,30.2672,-97.7431,69.01,88,90,4.61,overcast clouds
Manbij,SY,36.5281,37.9549,41.0,81,40,12.66,scattered clouds
Zatoka,UA,46.0725,30.4654,33.8,100,90,8.95,light rain and snow
Hermanus,ZA,-34.4187,19.2345,68.0,82,0,5.99,clear sky
Port Blair,IN,11.6667,92.75,82.33,76,35,6.91,scattered clouds
